GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
299a7405-40f7-467c-9b5b-acb728df2859	chr1	62920	25256800	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	25256850	25320455	0	0	0
299a7405-40f7-467c-9b5b-acb728df2859	chr1	25336819	53365539	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	53367025	53414255	4	3	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	53414567	89376219	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	89376483	89388517	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr1	89390538	107021464	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	107021598	107030186	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr1	107030897	150665235	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	150671404	151375224	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	151375344	152787202	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	152789447	152801429	0	0	0
299a7405-40f7-467c-9b5b-acb728df2859	chr1	152804279	162843793	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	162843861	162852046	0	0	0
299a7405-40f7-467c-9b5b-acb728df2859	chr1	162852750	168665735	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	168667384	168690693	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	168691128	168757919	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr1	168758326	205785490	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	205785560	206421552	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr1	206421659	248930189	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	12784	3876759	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	3877134	5429479	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	5430352	17790748	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	17791169	18011998	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	18018868	42918405	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	42918911	43305163	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	43305385	52494117	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	52494686	52527423	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr2	52527590	52554404	0	0	0
299a7405-40f7-467c-9b5b-acb728df2859	chr2	52560811	66450769	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	66453117	66717325	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	66718212	68324530	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	68326669	68352590	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr2	68352799	78889870	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	78890733	79496327	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	79498287	120520632	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	120520881	120530192	5	3	2
299a7405-40f7-467c-9b5b-acb728df2859	chr2	120533064	140347760	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	140348826	140823198	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr2	140823763	217761064	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	217761691	217777466	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr2	217782397	225162964	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr2	225163465	225177641	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr2	225178928	242147305	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	20930	5419321	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr3	5421707	9094558	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	9099116	9103870	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr3	9103944	13761035	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	13762009	45073253	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	45075514	45224042	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr3	45229299	78804015	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	78808113	79031101	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr3	79038742	97875475	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	97876009	98064604	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	98064702	102033611	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	102034561	102038604	0	0	0
299a7405-40f7-467c-9b5b-acb728df2859	chr3	102039506	129248423	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	129254441	131544126	1	1	0
299a7405-40f7-467c-9b5b-acb728df2859	chr3	131547758	133819171	2	1	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	133820730	162790480	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	162794869	162908207	0	0	0
299a7405-40f7-467c-9b5b-acb728df2859	chr3	162908784	169249535	3	2	1
299a7405-40f7-467c-9b5b-acb728df2859	chr3	169250470	171571227	4	2	2
299a7405-40f7-467c-9b5b-acb728df2859	chr3	171571457	171585121	2	1	1
