GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	62920	21108620	3	3	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	21111746	21514216	7	7	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	21514393	22430869	3	3	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	22432090	28624350	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	28628590	30735398	5	3	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	30736949	30832998	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	30833403	46440130	5	3	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	46440472	93165502	7	4	3
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	93174578	109941295	5	3	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	109941370	161432741	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	161434405	161954620	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	161954959	214790804	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	214791758	214812951	6	3	3
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	214814901	217950988	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	217951291	231201742	5	3	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	231201982	231242862	4	3	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr1	231248173	248930189	5	3	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	12784	21406714	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	21407407	21575021	1	1	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	21575499	40817896	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	40820384	40862736	2	1	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	40865983	52527330	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	52527342	52554404	0	0	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	52560811	54839480	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	54840602	54854726	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	54855012	65720237	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	65724972	68806910	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	68807117	68818026	5	3	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	68818124	73868414	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	73869051	73948197	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	73952262	88833611	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	88834118	89069842	10	10	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	89085826	148519008	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	148519484	148858511	6	4	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	148859610	199976451	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	199980111	205557416	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	205558272	205566683	4	4	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	205568012	208950224	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	208950474	208967874	3	3	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	208969257	237284027	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	237285479	237306423	1	1	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr2	237306698	242147305	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	20930	32361635	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	32363884	54060620	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	54062173	54251185	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	54252432	67230992	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	67232491	67277855	1	1	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	67278948	67297291	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	67301813	67316774	5	3	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	67316823	67379891	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	67379931	67420301	2	1	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	67420913	106398411	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	106400353	106421638	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	106424033	148654248	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	148654556	150544836	7	5	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	150549798	161693274	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	161698326	161831201	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	161834016	162790480	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	162794869	162906093	1	1	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	162906109	191237594	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	191238072	191269278	3	2	1
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr3	191270102	198169247	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr4	68929	49063964	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr4	49078996	49087357	4	4	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr4	49091769	53144843	4	2	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr4	53145359	56327983	6	4	2
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr4	56328275	97380371	2	2	0
52fce37e-fd7f-4b44-81ae-b2a3253f8699	chr4	97381804	169017084	3	3	0
