GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	62920	4437225	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	4441817	5692280	15	13	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	5694201	5811391	10	8	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	5812515	6138685	18	16	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	6139617	6968087	12	10	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	6969202	14298782	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	14299029	19380808	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	19381365	21067736	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	21068864	22816003	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	22816223	50026796	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	50028947	56974585	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	56975952	56981574	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	56982067	57449950	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	57450121	121705338	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	143541857	149881178	9	8	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	149888396	150828526	12	11	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	150828683	153016845	9	8	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	153018584	156702010	7	6	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	156709407	161247903	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	161249765	162971025	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	162974783	163175600	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	163175874	171490739	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	171490888	177051056	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	177056020	188412771	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	188412820	192327028	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	192327261	197276010	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	197276730	202067964	6	4	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	202068867	204113768	7	5	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	204113810	205756218	8	5	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	205756353	208137864	7	5	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	208139168	208276416	8	6	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	208276656	209302671	7	5	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	209303309	209446862	4	4	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	209448236	209888266	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	209890843	210697999	5	5	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	210702359	210940535	7	5	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr1	210940909	248930189	5	5	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	12784	38384738	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	38384788	38516577	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	38516739	48142936	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	48148585	48897335	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	48897563	120189362	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	120189630	121189789	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	121190053	164725197	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	164729075	164889304	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr2	164889842	242147305	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	20930	8120826	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	8121165	8726736	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	8729817	61974810	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	61975298	61977615	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	61978894	71637862	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	71638051	99119327	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	99120009	106441101	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	106441137	111214577	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	111215201	111368749	6	4	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	111368953	122363991	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	122365107	128621917	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	128623817	137934726	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	137936746	138024666	6	4	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	138024919	138063699	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	138063813	142393730	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	142395564	157232790	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	157232943	158933749	7	4	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	158935845	162604637	8	4	4
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	162606507	167861952	10	5	5
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	167861967	177565315	9	5	4
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	177567399	188906098	7	4	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr3	188906636	198169247	4	4	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr4	68929	68780092	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr4	68782922	115435030	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr4	115435136	115465017	7	4	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr4	115468063	171218947	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr4	171221407	171225117	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr4	171226326	190106768	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	15532	21445950	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	21449110	26701735	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	26705703	52376844	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	52377125	104032230	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	104039123	105097721	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	105097893	105167266	1	1	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	105168236	156203773	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	156206463	156378579	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	156378594	156687638	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	156687873	163008173	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	163013187	180947523	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	180951710	180991103	0	0	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr5	181006225	181363319	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	149661	14584531	5	5	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	14585677	32463515	4	4	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	32463775	32762309	7	6	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	32762615	33133229	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	33140895	37072225	4	4	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	37072855	62767102	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	62770159	77528187	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	77536799	77552024	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	77558139	78253172	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	78259348	78293324	1	1	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	78293764	115778125	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	115778745	123090516	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	123091752	151310954	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	151314491	152171601	7	6	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr6	152172330	170741917	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	43259	11301007	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	11301404	11309824	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	11310059	22889295	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	22892997	23484218	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	23484926	36270694	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	36272473	36573287	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	36574465	103772503	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	103775848	103832540	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	103838622	110759142	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	110762262	111961026	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	111969823	116257817	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	116257830	116278901	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	116279103	134100981	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	134100986	134114444	0	0	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	134121491	141729199	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	141744038	143465871	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr7	143470030	159334314	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	81254	1051694	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	1051908	27480511	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	27483203	38705327	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	38707661	39004680	6	4	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	39008699	40175414	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	40175781	48772119	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	48772436	52368564	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	52369240	54509880	9	7	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	54510441	57046240	12	10	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	57046830	58129580	15	13	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	58130197	60896789	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	60896946	61327505	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	61328491	68768726	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	68768930	69595708	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	69597554	78472714	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	78478507	79603531	9	8	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	79604203	79708776	19	19	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	79722781	80863021	9	8	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	80864607	81801327	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	81801588	83149688	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	83158362	86092350	15	12	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	86095698	86453415	8	5	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	86454867	88231512	8	7	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	88234599	89290828	11	10	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	89291019	90256083	12	9	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	90257044	90290904	11	9	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	90291105	96059506	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	96060081	98933637	6	3	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	98945886	101321247	11	8	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	101321479	101437165	11	9	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	101437778	108715018	6	3	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	108716198	109348299	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	109348729	109438063	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	109442776	117049399	8	5	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	117049713	124572304	6	3	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	124572699	124592323	10	7	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	124592961	125217964	14	11	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	125220463	127328427	22	20	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	127328663	127387681	20	16	4
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	127389490	128975973	21	19	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	128989920	129322235	23	21	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	129322640	136252196	17	14	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	136252257	144899319	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr8	144900257	145072769	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	46587	3710068	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	3712852	4655359	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	4658662	41741113	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	60863881	113559070	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	113559415	113578876	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	113583191	133640522	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	133642179	133753192	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr9	133753594	138200944	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	45792	8665969	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	8667218	8678301	9	5	4
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	8679800	42140070	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	42140823	44255142	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	44256462	44264083	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	44274500	45360542	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	45367758	53247839	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	53248483	56157379	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	56158919	56522407	17	16	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	56523373	56541050	19	10	9
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	56549259	57604645	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	57604949	58868456	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	58868559	59034875	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	59037146	61550508	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	61554714	61563595	1	1	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	61571836	75945309	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	75946649	76011587	13	11	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	76012554	76151274	16	15	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	76153816	76581993	15	12	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	76582264	76610633	26	26	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	76614755	78029778	41	40	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	78037192	78613924	23	22	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	78616574	78797290	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	78800798	78832570	17	14	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	78832740	78993008	24	22	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	78993846	80109281	28	27	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	80113425	99512032	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	99514276	99518208	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr10	99518975	133654968	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	198510	41346203	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	41346731	56446732	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	56447255	60929200	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	60929456	60933111	8	4	4
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	60935604	62956940	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	62958050	64920449	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	64921884	66787273	7	5	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	66788361	69645255	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	69645337	71568525	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	71569220	75501329	8	7	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	75503786	78319000	15	14	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	78324098	78353037	14	12	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	78355805	81578000	10	9	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	81578511	82105163	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	82107166	83390438	10	9	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	83390564	84424213	7	6	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	84424363	88130250	5	4	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	88132185	91685122	6	5	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	91689658	101498721	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	101499108	101507101	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	101507375	112731217	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	112732201	112909391	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	112911341	122980447	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	122985492	127404018	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	127404644	129572212	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	129573249	130589942	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr11	130592107	135074876	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	51460	25126953	4	2	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	25131073	25505327	14	12	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	25506738	26322016	18	17	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	26323629	26929916	15	13	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	26934528	28681155	6	4	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	28682129	29776405	7	5	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	29778851	31242909	8	6	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	31249756	32680414	9	7	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	32681210	34650111	10	8	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	34682719	39886326	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	39887891	43855391	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	43856997	43882566	4	4	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	43883222	45011257	6	4	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	45017163	46052183	7	4	3
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	46052421	64316006	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	64318731	64682037	1	1	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	64682768	89598412	4	4	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	89600270	94214775	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	94214802	94221344	5	5	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	94222209	103859245	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	103859653	103873102	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	103873365	103883794	5	5	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	103884750	103893634	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	103894928	113754549	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	113756914	114521736	1	1	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	114521780	114808323	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	114817630	114888652	1	1	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr12	114889122	133201603	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr13	18452809	22188958	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr13	22189088	22207006	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr13	22208770	34111793	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr13	34114296	114342922	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	18239283	27066228	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	27067046	27248163	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	27248664	33255680	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	33256607	33726273	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	33726730	49603212	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	49607203	50705407	1	1	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	50705501	54784590	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	54787557	70586642	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	70587191	70831648	4	3	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	70831750	72519108	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	72522932	80981938	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	80982038	97256934	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	97257399	98126407	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr14	98134180	106877229	5	3	2
700b28ed-9160-4ab7-be99-2202ac1ca694	chr15	19811075	60932693	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr15	60935507	71956362	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr15	71959091	72260031	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr15	72261081	78425375	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr15	78428428	88059188	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr15	88062293	91254992	3	3	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr15	91258036	101928837	2	2	0
700b28ed-9160-4ab7-be99-2202ac1ca694	chr16	10777	2749691	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr16	2754828	16246583	2	1	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr16	16259309	17577378	3	2	1
700b28ed-9160-4ab7-be99-2202ac1ca694	chr16	17577654	22412350	2	1	1
