GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
4613360f-cf63-4836-a12b-c48cb8602417	chr1	62920	3980193	4	4	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	3988162	25256850	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	25266637	25320455	0	0	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	25336819	47414606	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	47418557	47451441	4	4	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	47452116	61395456	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	61395882	61409009	1	1	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	61409195	71772730	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	71772749	71974771	1	1	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	71978922	72559396	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	72560293	73318022	4	4	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	73320557	100328865	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	100330328	100337119	2	2	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	100339832	107021464	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	107021598	107030186	1	1	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	107030897	118748812	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	118751421	118804742	1	1	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	118806818	121705338	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	143541857	152787202	5	5	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	152789447	152796224	0	0	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	152801429	184841104	5	5	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	184853395	192615565	6	6	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	192615665	192628958	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	192629041	197756100	6	6	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	197756243	230235695	5	5	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	230236279	230362833	6	6	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	230365443	232484718	5	5	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	232484779	232489657	3	3	0
4613360f-cf63-4836-a12b-c48cb8602417	chr1	232490411	248930189	5	5	0
4613360f-cf63-4836-a12b-c48cb8602417	chr2	12784	45287322	5	4	1
4613360f-cf63-4836-a12b-c48cb8602417	chr2	45296388	45990531	4	3	1
4613360f-cf63-4836-a12b-c48cb8602417	chr2	45993749	95170151	5	4	1
4613360f-cf63-4836-a12b-c48cb8602417	chr2	95172364	97888940	4	3	1
4613360f-cf63-4836-a12b-c48cb8602417	chr2	97893334	98906102	5	4	1
4613360f-cf63-4836-a12b-c48cb8602417	chr2	98906931	104095512	6	5	1
4613360f-cf63-4836-a12b-c48cb8602417	chr2	104097504	107554697	5	4	1
